,,M,Inn,NO,Runs,HS,Avg,BF,SR,100,200,50,4s,6s
0,Test,90,144,16,4876,224,38.09,8248,59.12,6,1,33,544,78
1,ODI,350,297,84,10773,183,50.58,12303,87.56,10,0,73,826,229
2,T20I,98,85,42,1617,56,37.6,1282,126.13,0,0,2,116,52
3,IPL,234,206,79,4978,84,39.2,3682,135.2,0,0,24,346,229
